,k0,k10,k20,k25,k50,k60,k70,k80,k90,k100,k150,k200,k250
memory,10152.7,132,73.2,66,55,53.6,45.5,52.1,51,50.6,46,49.4,49.6
time,35.76,1.68,1.84,1.56,2,2.08,2.1,2.32,2.86,2.54,4.22,5.54,8.88
silhoutte,0.231812343,0.253691786,0.259179788,0.238406368,0.241175061,0.233376297,0.226371445,0.257145625,0.244491133,0.230515188,0.217543606,0.223609969,0.242744
clusterdist,69.41596268,78.69356793,59.57079088,57.01299119,54.73184995,49.84843514,50.1217829,49.5751666,47.61463326,47.07545122,43.94157445,37.03985876,38.09735948
minintercusterdist,1.57,51.61,53.21,46.5,55.37,49.5,42.7,54.55,48.29,54.52,51.02,49.88,56.81
avgintercusterdist,267.43,614.27,1078.12,970.36,886.02,769.66,740.05,733.84,697.59,679.38,593.49,591.14,552.67
maxintercusterdist,532.41,1094.4,2115.39,1964.42,1590.97,1495.01,1397.66,1372.97,1318.92,1274.76,1110.86,1004.9,928.05
