"k0","k10","k20","k25","k50","k60","k70","k80","k90","k100","k150","k200","k250"
"memory",10152.7,132,73.2,66,55,53.6,45.5,52.1,51,50.6,46,49.4,49.6
"time",35.76,1.68,1.84,1.56,2,2.08,2.1,2.32,2.86,2.54,4.22,5.54,8.88
"silhoutte",0.231812342759232,0.253691785713675,0.259179787589026,0.238406367742881,0.241175061150975,0.23337629726711,0.226371444707758,0.257145625456794,0.244491132788749,0.230515187849423,0.217543606103322,0.223609969318883,0.24274399997014
"clusterdist",69.4159626760719,78.6935679343152,59.5707908786582,57.0129911934843,54.7318499491191,49.8484351439052,50.121782903475,49.5751665991072,47.6146332573739,47.0754512241447,43.9415744520488,37.0398587566921,38.0973594765847
