"k0","k15","k20","k25","k50","k60","k70","k80","k90","k100","k150","k200","k250"
"memory",58.4,53.3,44.8,41.9,36.8,37.1,36.3,36,35.8,36.9,34.8,34.3,34.5
"time",1.06,0.48,0.6,0.52,0.88,1.04,1.02,1.18,1.42,1.94,2.28,3.46,4.22
"silhoutte",0.318539983255273,0.313153434707676,0.309521964962779,0.306450243451012,0.305753754790982,0.301022254101398,0.297236281625593,0.292376379474233,0.288041146168596,0.290242763051462,0.279418096104936,0.248990530431876,0.231661629735559
"clusterdist",74.0165305336277,86.8597559642596,82.1593181501593,54.9326103266014,46.8089106705452,46.6250463767315,45.6767185777038,45.9576469097198,45.1240472427888,44.7603069508347,42.7117636215231,42.4276670739507,36.7067207306552
