"k0","k10","k20","k25","k50","k60","k70","k80","k90","k100","k150","k200","k250"
"memory",0,24.5,22.2,22,17.5,16.6,19,15.3,9.7,6.9,18.3,18.2,12.1
"time",202.74,0.92,0.22,0.22,0.28,0.28,0.34,0.38,0.38,0.42,0.8,1.08,1.38
"silhoutte",-0.101921839004308,-0.0966391615367727,-0.0876475199477923,-0.0881338458358511,-0.0764088529175499,-0.0753815805256275,-0.0636927907785419,-0.213560912727908,-0.127242444624698,-0.0907330731373452,-0.130013951235948,-0.184259759545524,-0.0402106119655198
"clusterdist",99.8385425552405,94.9772121107472,79.8632466613506,78.4654596131378,74.4513796725945,69.7498419247861,65.1919224376931,71.7730725377183,72.0512869372135,61.0340837910875,57.2980303248555,49.756186170778,34.2645130818278
